"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24617823","27","714","1","CMCC","0","CXLL","10086","10086","[""???????????????????????????????????????????????????10086???????""]","2021-03-30 15:45:44","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617755","28","28","1","CMCC","0","请查询流量，谢谢！","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日09时50分11秒，您本月国内通用流量共9.04GB(其中个人8.98GB，共享60.00MB)，当前可使用1.08GB(其中个人1.07GB，共享12.54MB)；国内其他流量共1.00GB，当前可使用0.00MB。【为您推荐】尊敬的客户，您好！为了更好的为您提供移动服务，确保您能及时收到四川移动服务信息、调研回访以及业务推广等信息，特推荐您开通服务管家，此业务不收任何费用且长期有效，成功订购后，四川移动将以电话（10086、10085、10088）、短信、即时通信工具、电子邮件等方式进行告知。点击链接可办理：https:\/\/dx.10086.cn\/1132dp 。百分努力，只为您10分满意！ \r\n如需查询流量使用进度，请点击 ：http:\/\/dx.10086.cn\/sccxll【中国移动】""]","2021-03-30 15:19:56","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617676","871","888","1","CMCC","0","CXLL","10086","10086","[""【业务受理】尊敬的客户，您已成功办理语音转流量业务，已将您套餐内 60分钟国内语音转换为1G国内流量（不含港澳台地区）。转换流量次日生效，月末失效，转换不可逆。【中国移动】""]","2021-03-30 14:52:50","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617669","371","378","1","CMCC","0","CXLL","10086","10086232","[""【流量提醒】尊敬的客户，截至03月30日10时49分，您03月：\n剩余总流量26.96GB，\n其他流量剩余26.96GB。\n本月您本号码流量超出套餐1.20GB。\n查询每天流量使用情况和APP使用排行，请点击： https:\/\/f.10086.cn\/s\/#NCC23 \n【推荐您使用河南移动智慧生活APP，24小时不打烊！剩余流量随时查，每日、每月各大APP流量使用排行情况一手掌握，让您安心上网。点击 http:\/\/dx.10086.cn\/K0f3 下载】【中国移动】""]","2021-03-30 14:50:40","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617665","27","27","1","CMCC","0","CXLL","10086","10086","[""???????????????????????????????????????????????????10086???????""]","2021-03-30 14:47:46","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617633","731","736","1","CMCC","10000","CXTCLL","10086","10086","[""【订购提醒】尊敬的客户，您已成功订购流量7天包，产品立即生效，资费为10元，含5GB国内通用流量，7*24小时后失效，流量不可共享，不可结转，不可转赠。登录中国移动APP足不出户查询业务，了解更多业务优惠，立即前往： https:\/\/app.10086.cn\/DL731fk 。【中国移动】""]","2021-03-30 14:32:43","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617597","871","874","1","CMCC","0","CXLL","10086","10086","[""【流量详情】尊敬的客户，查询流量使用详情请点击： https:\/\/dx.10086.cn\/0jq5Dw 【中国移动】。【一大波优惠等您领！】快快点击链接https:\/\/dx.10086.cn\/6ahPCw，领取专属您的套餐固定费减免优惠，还不快来看看！当月领取，次月生效，合约期12个月。该短信转发无效，如您已领取请忽略该短信,更多活动规则详询链接。全心全意，只为您十分满意！【中国移动】""]","2021-03-30 14:17:56","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617590","431","431","1","CMCC","0","1173","10086","10086","[""尊敬的客户，您本月手机上网优惠使用情况:国内(不含港澳台)手机上网流量优惠可享受33GB559.0MB（含结转量3GB558.94MB），现剩余25GB662.43MB优惠小区流量优惠可享受70GB0.08MB，现剩余4GB476.79MB。本卡各项套餐使用及剩余情况详细查询请点击http:\/\/dx.10086.cn\/tcyl86【中国移动】""]","2021-03-30 14:13:53","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617573","10","10","1","CMCC","0","cxyl","10086","10086","[""【余量查询】尊敬的客户您好，截至到2021年03月28日17时09分，您的\r\n1.互联网号卡流量特惠，国内通用优惠剩余0MB，\r\n感谢您的使用。查询结果仅供参考，实际收费请以账单为准。更多余量信息，点击 https:\/\/hfx.net\/i\/tKb9L 查看。【中国移动】""]","2021-03-30 14:09:21","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617541","371","372","1","CMCC","0","CXLL","10086","10086232","[""【流量提醒】尊敬的客户，截至03月29日19时35分，您03月：\n剩余总流量0.00MB。\n本月您本号码流量超出套餐5.41GB。\n查询每天流量使用情况和APP使用排行，请点击： https:\/\/f.10086.cn\/s\/#NCC23 \n【推荐您使用河南移动智慧生活APP，24小时不打烊！剩余流量随时查，每日、每月各大APP流量使用排行情况一手掌握，让您安心上网。点击 http:\/\/dx.10086.cn\/K0f3 下载】【中国移动】""]","2021-03-30 13:55:30","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617354","371","377","1","CMCC","0","CXLL","10086","10086232","[""【流量提醒】尊敬的副卡客户，您查询的数据包含主卡可共享流量。截至03月30日06时19分，您03月：\n剩余总流量9.91GB，\n其他流量剩余9.91GB。\n查询每天流量使用情况和APP使用排行，请点击： https:\/\/f.10086.cn\/s\/#NCC23 \n【推荐您使用河南移动智慧生活APP，24小时不打烊！剩余流量随时查，每日、每月各大APP流量使用排行情况一手掌握，让您安心上网。点击 http:\/\/dx.10086.cn\/K0f3 下载】【中国移动】""]","2021-03-30 12:40:04","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617349","21","21","1","CMCC","0","CXLL","10086","10086","[""【流量余量提醒】您好！截至03月30日12时35分，您本月已使用移动数据流量71.45M(其中被他人共享流量71.42M)，套餐内流量剩余4G952.55M，其中国内流量剩余4G952.55M。点 ah.10086.cn\/dt\/khd 至移动惠生活APP查询更多内容。\r\n回复序号办理:\r\n6681.头条抖音包\r\n6688.视频会员随心包（首月1元）\r\n660.查询特殊流量\r\n6600.查看更多内容\r\n6680.1元享300分钟通话\r\n【中国移动】""]","2021-03-30 12:39:01","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
