"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24617581","571","576","1","TELECOM","0","108","10001","10001","[""尊敬的用户，您套餐内本月共有通用流量25.75GB(含上月结转271.71MB)，剩余9.41GB。仅供参考。定向、闲时等其他流量使用情况请回复“流量详情”或“LLXQ”查询。\n【限量福利】邀您领取1~100元，先到先得，进入电信营业厅APP领取：http:\/\/a.189.cn\/3EjjZ6""]","2021-03-30 14:11:28","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617532","871","871","1","TELECOM","0","108","10001","10001","[""尊敬的客户,截止03月29日,您本月套餐使用量详情请点击http:\/\/222.221.11.113:10012\/esur-service\/pkgInfonew.htm?pkgPhone=R6lzOItgDlJkeqmxH4NbrA%3D%3D&queryType=1 查看,实际费用以出账帐单为准,套餐及流量详情请关注\""云南电信\""微信和下载安装中国电信欢go客户端或查询.中国电信""]","2021-03-30 13:51:20","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617523","891","891","1","TELECOM","0","108","10001","10001","[""尊敬的客户，您好！截至2021年3月30日您的流量使用情况如下：\n套餐流量本月已使用267.31MB，剩余19.74GB高速上网，流量达20G降速至1Mbps。;\n\r\n温馨提示：免费升级VoLTE高清通话，送100分钟通话福利！点击领取  http:\/\/gx.189.cn\/s\/YDCzS 【中国电信】""]","2021-03-30 13:44:08","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617445","851","851","1","TELECOM","0","108","10001","10001","[""很抱歉，查询不到您的套餐使用情况。请您前往当地营业厅查询或拨打10000号咨询。回复10001，回到短信营业厅首页，办理业务中收发短信均免费。""]","2021-03-30 13:12:28","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617421","20","755","1","TELECOM","0","702","10001","10001","[""尊敬的丁*浚客户：当前电信无忧卡201905国内通用流量(包含结转流量0.0M)共200.0M,已用0.12M,剩余199.88M；\n套餐外累计通话时长,已用1分钟;\n。查询结果仅供参考，实际费用以出账账单为准。""]","2021-03-30 13:05:27","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617388","20","663","1","TELECOM","0","702","10001","10001","[""尊敬的李*华客户：当前电信畅享99元套餐201901（普通版）国内通用流量(包含结转流量7.65G)共27.65G,已用22.94G),剩余4.71G；\n电信畅享99元套餐201901（普通版）国内语音时长量本共300分钟,已用8分钟,剩余292分钟；\n。查询结果仅供参考，实际费用以出账账单为准。""]","2021-03-30 12:54:57","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617370","20","759","1","TELECOM","90000","702","10000","10001","[""尊敬的王*力客户：当前后付费乐享3G聊天版国内手机上网流量(包含结转流量120.0M)共240.0M,已用0.0M,剩余240.0M；\n10GB\/月流量体验（12个月）国内通用流量共10.0G,已用568.49M,剩余9.44G；\n后付费乐享3G聊天版国内时长共360分钟,已用196分钟,剩余164分钟；\n后付费乐享3G聊天版国内WLAN上网时长共1800分钟,已用0分钟,剩余1800分钟；\n。查询结果仅供参考，实际费用以出账账单为准。""]","2021-03-30 12:46:46","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617355","28","832","1","TELECOM","0","102","10001","10001","[""尊敬的用户，截止至3月30日3时，您帐户余额0.58元。充值立享折扣，请点击:  https:\/\/wapsc.189.cn\/c\/EVnQZf   查看\r\n满意服务，10分信赖！【中国电信】""]","2021-03-30 12:40:35","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617342","20","20","1","TELECOM","0","尊敬的广*市*建*发*团*特*络*展*限*司客户：当前畅享流量(50G)政企团购套餐(去合约)_99元(珠三角)_2017年二季度_粤畅享套餐降速阈值流量共50.0G,已用50.0G,剩余0.0M；
畅享流量(50G)政企团购套餐(去合约)_99元(珠三角)_2017年二季度_粤畅享套餐超出阈值的累计流量（不含国漫）共0.0M,已用14.56G,剩余0.0M；
流量畅享政企团购套餐(去合约)国内移","10001","10001","[""尊敬的广*市*建*发*团*特*络*展*限*司客户：当前畅享流量(50G)政企团购套餐(去合约)_99元(珠三角)_2017年二季度_粤畅享套餐降速阈值流量共50.0G,已用41.57G,剩余8.42G；\n流量畅享政企团购套餐(去合约)国内移动上网流量（KB）(包含结转流量2.0G)共4.0G,已用0.0M,剩余4.0G；\n乐享4G套餐国内手机上网流量(包含结转流量2.0G)共4.0G,已用0.0M,剩余4.0G；\n乐享4G套餐国内通话时长共700分钟,已用96分钟,剩余604分钟；\n。查询结果仅供参考，实际费用以出账账单为准。""]","2021-03-30 12:36:03","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617318","28","838","1","TELECOM","0","108","10001","10001","[""尊敬的用户，截止至3月30日9时，您帐户余额38.6元。充值立享折扣，请点击:  https:\/\/wapsc.189.cn\/c\/fIjiI3   查看\r\n满意服务，10分信赖！【中国电信】""]","2021-03-30 12:30:17","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617317","931","937","1","TELECOM","0","108","10001","10001","[""尊敬的客户，截至2021年03月30日，您当月套餐使用情况如下:\r\n一、其他\r\n1.移动业务手机上网费用封顶费用:总金额0.00元，已使用0.04元。\r\n回复代码办理：\n456.全国语音包\n102.余额查询\n10001.返回主菜单\r\n我们全心全意，只为您 10 分满意。【中国电信】""]","2021-03-30 12:30:17","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617314","20","755","1","TELECOM","90000","702","10001","10001","[""尊敬的黄*军客户：当前天翼畅享20G（99元）套餐201802畅享套餐降速阈值流量共20.0G,已用20.0G,剩余0.0M；\n天翼畅享20G（99元）套餐201802畅享套餐超出阈值的累计流量（不含国漫）共0.0M,已用430.95M,剩余0.0M；\n天翼畅享套餐201802国内通话时长共300分钟,已用57分钟,剩余243分钟；\n。查询结果仅供参考，实际费用以出账账单为准。""]","2021-03-30 12:29:23","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617313","23","23","1","TELECOM","90000","108","10001","10001","[""您的【1】畅享套餐内共享流量已使用43G【2】本机已订购流量包流量剩余0M，具体明细回复“1082”可查【3】本机定向流量剩余1G【4】国内语音剩1675分钟【5】未缴费0.00元【6】积分剩1524分。余额查询请回复102。本查询结果对入网首月免套餐费用户仅供参考,流量不够用请点击http:\/\/cq.189.cn\/fw\/LLCS办理。""]","2021-03-30 12:29:13","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
